Vehicle_ID,Risk_Score
motorcycle0,1.6558441558441557
motorcycle1,1.9078947368421053
motorcycle10,1.7964071856287425
motorcycle100,1.8852459016393441
motorcycle101,1.8888888888888888
motorcycle102,1.8944636678200695
motorcycle103,1.8028169014084507
motorcycle104,1.7286821705426356
motorcycle105,1.84375
motorcycle106,2.1315789473684212
motorcycle107,1.9047619047619047
motorcycle108,1.853658536585366
motorcycle109,1.9491228070175437
motorcycle11,1.816176470588235
motorcycle110,1.6206896551724137
motorcycle111,1.7330508474576272
motorcycle112,2.081521739130435
motorcycle113,1.7265625
motorcycle114,1.8192771084337351
motorcycle115,2.373913043478261
motorcycle116,1.788135593220339
motorcycle117,1.9960629921259843
motorcycle118,1.7574257425742577
motorcycle119,1.7727272727272725
motorcycle12,1.9322033898305084
motorcycle120,1.6578947368421053
motorcycle121,2.1071428571428568
motorcycle122,1.923076923076923
motorcycle123,1.7588652482269502
motorcycle124,2.283582089552239
motorcycle125,2.0333333333333337
motorcycle126,1.7229729729729728
motorcycle127,1.6682692307692306
motorcycle128,1.9545454545454544
motorcycle129,2.1470588235294117
motorcycle13,1.782178217821782
motorcycle130,1.8088235294117647
motorcycle131,1.6946902654867257
motorcycle132,1.7819148936170213
motorcycle133,2.033333333333333
motorcycle134,1.9040697674418605
motorcycle135,1.7532467532467533
motorcycle136,1.9736842105263157
motorcycle137,1.8603351955307263
motorcycle138,1.8797468354430378
motorcycle139,2.3211678832116784
motorcycle14,1.7967479674796747
motorcycle140,1.7358490566037736
motorcycle141,1.8449612403100777
motorcycle142,1.8984375
motorcycle143,1.4090909090909092
motorcycle144,1.910714285714286
motorcycle145,1.5707547169811322
motorcycle146,1.6476190476190475
motorcycle147,1.9046511627906975
motorcycle148,1.9456521739130432
motorcycle149,1.8742138364779874
motorcycle15,2.2972222222222225
motorcycle150,1.6708333333333334
motorcycle151,1.9583333333333333
motorcycle152,1.8773584905660379
motorcycle153,1.7758620689655171
motorcycle154,1.6666666666666665
motorcycle155,1.685483870967742
motorcycle156,1.621794871794872
motorcycle157,2.102209944751381
motorcycle158,1.8316831683168318
motorcycle159,1.4415584415584415
motorcycle16,1.6238095238095238
motorcycle160,2.045161290322581
motorcycle161,1.8035714285714286
motorcycle162,2.265
motorcycle163,1.5991379310344829
motorcycle164,1.8333333333333335
motorcycle165,1.7446808510638299
motorcycle166,1.7526881720430108
motorcycle167,1.8626373626373627
motorcycle168,1.7543103448275863
motorcycle169,1.8449612403100777
motorcycle17,1.8984375
motorcycle170,1.9375
motorcycle171,1.7705882352941176
motorcycle172,1.7521008403361344
motorcycle173,1.6484375
motorcycle174,1.9074074074074074
motorcycle175,1.9233226837060702
motorcycle176,1.6606060606060606
motorcycle177,1.833333333333333
motorcycle178,2.2077464788732395
motorcycle179,1.7406249999999999
motorcycle18,1.9683544303797467
motorcycle180,1.7876712328767124
motorcycle181,1.672897196261682
motorcycle182,1.891812865497076
motorcycle183,1.9
motorcycle184,1.9341463414634144
motorcycle185,1.6724137931034484
motorcycle186,2.0299003322259135
motorcycle187,2.182926829268293
motorcycle188,1.4696969696969697
motorcycle189,1.6082089552238805
motorcycle19,1.6466666666666665
motorcycle190,1.8611111111111112
motorcycle191,2.0033557046979866
motorcycle192,2.318181818181818
motorcycle193,2.141891891891892
motorcycle194,2.1882352941176473
motorcycle195,1.9782608695652173
motorcycle196,1.891089108910891
motorcycle197,1.7230769230769232
motorcycle198,1.6360294117647056
motorcycle199,2.119718309859155
motorcycle2,1.7307692307692308
motorcycle20,1.7588235294117647
motorcycle200,1.7115384615384617
motorcycle201,2.333333333333333
motorcycle202,1.9204545454545454
motorcycle203,2.259090909090909
motorcycle204,1.707482993197279
motorcycle205,1.6446078431372548
motorcycle206,1.8
motorcycle207,1.8358585858585856
motorcycle208,1.721590909090909
motorcycle209,2.4345991561181437
motorcycle21,1.8055555555555554
motorcycle210,1.8223684210526316
motorcycle211,1.980952380952381
motorcycle212,1.8900523560209423
motorcycle213,1.9217391304347826
motorcycle214,1.7530120481927711
motorcycle215,1.6379310344827585
motorcycle216,1.8558558558558558
motorcycle217,1.8625954198473282
motorcycle218,1.6386138613861387
motorcycle219,1.8135593220338984
motorcycle22,1.695488721804511
motorcycle220,1.8181818181818181
motorcycle221,1.9100719424460433
motorcycle222,1.7543859649122808
motorcycle223,1.9026845637583893
motorcycle224,1.8297872340425534
motorcycle225,1.7044534412955463
motorcycle226,1.7484472049689441
motorcycle227,2.054140127388535
motorcycle228,1.9407894736842102
motorcycle229,1.5462962962962963
motorcycle23,2.0270270270270268
motorcycle230,2.043103448275862
motorcycle231,1.9349999999999998
motorcycle232,1.8970588235294117
motorcycle233,2.076923076923077
motorcycle234,1.6796875
motorcycle235,1.7142857142857144
motorcycle236,2.0
motorcycle237,1.76010101010101
motorcycle238,2.0
motorcycle239,1.8703703703703705
